,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),label
141,2018-10-09,12,7,0.3684210526315789,34.0,22.0,0.39285714285714285,65.0,30.0,0.3157894736842105,0
142,2018-10-08,11,8,0.42105263157894735,12.0,7.0,0.3684210526315789,34.0,22.0,0.39285714285714285,0
143,2018-10-05,9,5,0.35714285714285715,11.0,8.0,0.42105263157894735,12.0,7.0,0.3684210526315789,1
144,2018-10-04,6,5,0.45454545454545453,9.0,5.0,0.35714285714285715,11.0,8.0,0.42105263157894735,0
145,2018-10-03,2,10,0.8333333333333334,6.0,5.0,0.45454545454545453,9.0,5.0,0.35714285714285715,0
146,2018-10-02,16,5,0.23809523809523808,2.0,10.0,0.8333333333333334,6.0,5.0,0.45454545454545453,1
147,2018-10-01,5,1,0.16666666666666666,16.0,5.0,0.23809523809523808,2.0,10.0,0.8333333333333334,1
148,2018-09-28,8,2,0.2,5.0,1.0,0.16666666666666666,16.0,5.0,0.23809523809523808,1
149,2018-09-27,1,1,0.5,8.0,2.0,0.2,5.0,1.0,0.16666666666666666,1
150,2018-09-26,9,1,0.1,1.0,1.0,0.5,8.0,2.0,0.2,1
151,2018-09-25,9,1,0.1,9.0,1.0,0.1,1.0,1.0,0.5,0
152,2018-09-24,12,4,0.25,9.0,1.0,0.1,9.0,1.0,0.1,0
153,2018-09-21,9,6,0.4,12.0,4.0,0.25,9.0,1.0,0.1,0
154,2018-09-20,16,8,0.3333333333333333,9.0,6.0,0.4,12.0,4.0,0.25,1
155,2018-09-19,8,5,0.38461538461538464,16.0,8.0,0.3333333333333333,9.0,6.0,0.4,1
156,2018-09-18,8,10,0.5555555555555556,8.0,5.0,0.38461538461538464,16.0,8.0,0.3333333333333333,1
157,2018-09-17,8,3,0.2727272727272727,8.0,10.0,0.5555555555555556,8.0,5.0,0.38461538461538464,1
158,2018-09-14,3,3,0.5,8.0,3.0,0.2727272727272727,8.0,10.0,0.5555555555555556,0
159,2018-09-13,10,1,0.09090909090909091,3.0,3.0,0.5,8.0,3.0,0.2727272727272727,1
160,2018-09-12,3,2,0.4,10.0,1.0,0.09090909090909091,3.0,3.0,0.5,1
161,2018-09-11,6,7,0.5384615384615384,3.0,2.0,0.4,10.0,1.0,0.09090909090909091,1
162,2018-09-10,12,1,0.07692307692307693,6.0,7.0,0.5384615384615384,3.0,2.0,0.4,1
163,2018-09-07,2,1,0.3333333333333333,12.0,1.0,0.07692307692307693,6.0,7.0,0.5384615384615384,0
