,comment,date,+/-
145,"Time to buy.
","May 01, 2019 11:05AM ET",
146,"Who will be new babysitter for Musk? New rules are inforce!
","May 01, 2019 11:02AM ET",
147,"we were nice to enough to tell you the truth!! you fanboys just never listened!!
","May 01, 2019 10:31AM ET",
148,"a lot of hot air is blowing out of this bubble.
","May 01, 2019 10:30AM ET",
149,"Here is the death of Tesla
","May 01, 2019 10:27AM ET",
150,"free fall
","May 01, 2019 10:26AM ET",
151,"wow, my comments criticizing wall street is being deleted. Great.
","May 01, 2019 10:06AM ET",
152,"Another illogical development: SEC thing caused 10% drop in the stock not, Tesla clearly won the issue no report, no moves nothing. This proves that SEC thing was not important at the first place and news people and wall street gurus are malicious.
","May 01, 2019 10:01AM ET",
153,"bears won't lose momentum till Tesla is a 125 in November.
","May 01, 2019 10:00AM ET",
154,"Hate against Tesla in the media is palpable. Every single good news is totally ignored and mountains are being created from tiny tiny molehills. That means Tesla is doing great and fossilized industry is freaking. IF there was a company out there with only...Show more
","May 01, 2019 9:59AM ET",
155,"bulls just cannot rally.rjected again
","May 01, 2019 9:56AM ET",
156,"ethereum
","May 01, 2019 9:24AM ET",
157,"analysts are digesting the SEC filings and quickly understanding that Musk again lied on his earnings call, and normalized losses are much bigger than presented
","May 01, 2019 9:09AM ET",
158,"Consumer Reports ranked Tesla 27th out of 28. Of course, Tesla Bulls don't follow comparatives - only Musk. Bad news never matters to the Fanboys.
","May 01, 2019 8:59AM ET",
159,"Tesla launches cheaper Model 3 with 150km range in Canada to get $5,000 incentive . . https://electrek.co/2019/05/01/tesla-cheaper-model-3-canada-incentive/
","May 01, 2019 8:15AM ET",
160,"seems like bears are losing momentum, lets see what happens...
","May 01, 2019 6:11AM ET",
161,"Hova menjen a Tesla árfolyam egy hónap múlva ?? Amennyiben felkérést kapunk Elon Musk - tol , vagy más szervezettől, mi szívesen eljuttatjuk az árfolyamot egy adott szintre egy hónap alatt.
","May 01, 2019 5:59AM ET",
162,"ulls are rejected again and again.
","May 01, 2019 1:06AM ET",
163,"will buy again near 228
","May 01, 2019 12:18AM ET",
164,"Judge approved Tesla win over SEC. So are we gonna see 10% increase tomorrow with upgrades from wall street ""gurus""??? ;)
","Apr 30, 2019 9:51PM ET",
165,"TESLA = Waymo + Uber + Mercedes + Solar + Battery tech +++++ . It will be a trillion $ company.
","Apr 30, 2019 9:50PM ET",
166,"https://www.investing.com/news/technology-news/judge-approves-musk-sec-agreement-over-twitter-use-by-ceo-1851780
","Apr 30, 2019 9:15PM ET",
167,"Morgan Stanley: Waymo (google self driving tech which weighs half a ton and zero cars on the street) worth $150 billion.. . Morgan Stanley: Tesla self drive (which is very cheep and on hundreds of thousands vehicles has it) worth less than $8 billion.. . ....Show more
","Apr 30, 2019 9:04PM ET",
168,"Ouch, what on earth happened here? I was expecting 420 by march. I guess its a buy opportunity. What a shame that Tesla doesnt garner more support from the media and the government. Its Americas last chance against asian cars, Chinas in particular, that wi...Show more
","Apr 30, 2019 6:25PM ET",
